scenario,asset_id,name,timestamp,tmrt_mean_10m,utci_mean_10m,utci_category,feasibility_this_scenario,feasibility_phase2_baseline,feasibility_phase1_proxy,utci_delta_vs_baseline,decision_changed_vs_phase2_baseline
SENS_B_minus20pct,A26,Monumento a Alfonso XII,12:00,50.1,36.7,Very strong heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.8,False
SENS_B_minus20pct,A27,Jardines del Arquitecto Herrero Palacios,12:00,49.6,36.6,Very strong heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE,-1.0,False
SENS_B_minus20pct,A14,Puerta de Alcalá,15:00,47.3,40.5,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,0.0,False
SENS_B_minus20pct,A15,Fuente de Cibeles,15:00,55.0,42.4,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-2.0,False
SENS_B_minus20pct,A16,Fuente de Neptuno,15:00,60.3,43.7,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-1.3,False
SENS_B_minus20pct,A17,Estatua de Goya,15:00,52.1,41.7,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.9,False
SENS_B_minus20pct,A18,Palacio de Cibeles - Ayuntamiento de Madrid,15:00,59.9,43.6,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.9,False
SENS_B_minus20pct,A19,Real Observatorio de Madrid,15:00,49.3,41.0,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.4,False
SENS_B_minus20pct,A20,Parque del Retiro,15:00,39.5,38.7,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,0.1,False
SENS_B_minus20pct,A21,Real Jardín Botánico de Madrid,15:00,38.6,38.5,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,0.1,False
SENS_B_minus20pct,A22,Palacio de Cristal,15:00,57.5,43.0,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.9,False
SENS_B_minus20pct,A23,Jardines de Cecilio Rodríguez,15:00,58.5,43.3,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-1.1,False
SENS_B_minus20pct,A24,La Rosaleda,15:00,62.0,44.1,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.9,False
SENS_B_minus20pct,A25,Jardín del Parterre,15:00,61.4,44.0,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-1.0,False
SENS_B_minus20pct,A26,Monumento a Alfonso XII,15:00,52.3,41.8,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.3,False
